id,name,location_type,RCaccepted,registered__intl,registered__skill,registered__gender,duration,onsk8s,contact,coach,created_on,description,regcap,audcap,con,con__city,con__year
999,Absorbing Maintaining Contact Blocking,Flat Track,1,0,3,Female,1.5,1,1,158,2016-02-11 16:31:59,"Techniques, body mechanics and instruction to improve your forward and backward blocking space and lateral movement. 
*please note: this class is 1.5 hours long*
",,,1,Las Vegas,2015
1000,Advanced Powerful Jamming,Flat Track,1,0,4,NA/Coed,2,1,1,170,2016-02-11 16:31:59,"Truly powerful jamming. Learn to play defense and offense while you're scoring. Make holes for yourself!
",,,1,Las Vegas,2015
1001,Backfield in Motion,Flat Track,1,0,0,NA/Coed,2,1,1,126,2016-02-11 16:31:59,"Backward skating skills for those who can maneuver backward but really want to skate backward with power.  Skaters will learn how to propel themselves using as little effort as possible, how to access their backward edges, how to execute cross-pulls (sometimes called backward crossovers) and how to look good while doing it!  Each skill will be broken down in a step by step format that is both easy to understand and easy to teach to others.
",,,1,Las Vegas,2015
1002,Backwards Baby Steps,Flat Track,1,0,2,NA/Coed,2,1,1,126,2016-02-11 16:31:59,"Learn how to skate backwards for real!  Class is geared toward those skaters who are struggling and who need to better understand actual technique.  Skaters will see improvement in balance, edging, rhythm, speed and style. 

",,,1,Las Vegas,2015
1003,Be SMART Goal Setting,Seminar/Conference Room,1,0,0,NA/Coed,1,1,1,119,2016-02-11 16:31:59,"Setting goals is easy but achieving them isn't. Setting SMART goals - specific, measurable, achievable, realistic and timely - is the first step in making your goal a reality. Bring your goals with a pen and paper, using the SMART framework, we will work to make your goals into SMART goals.  """"Many people fail in life, not for lack of ability or brains or even courage, but simply because they have never organised their energies around a goal."""" -Elbert Hubbard

*Be prepared to sit on the floor*
",,,1,Las Vegas,2015
1004,Better Brakes for Blocking Your Wall,Flat Track,1,0,0,NA/Coed,2,1,1,167,2016-02-11 16:31:59,"Aggressive partner and wall blocking, including leading your opposition into a hit instead of hitting away from your partner.
",,,1,Las Vegas,2015
1005,Blockers Turned Jammer,Flat Track,1,0,3,NA/Coed,2,1,1,146,2016-02-11 16:31:59,"Sometimes the coach calls on you to jam even though you never jam at practice.  Learn how to have confidence in your jamming and use your beast mode blocker skills to make you a top notch jammer.
",,,1,Las Vegas,2015
1006,Blocking Backwards,Flat Track,1,0,3,NA/Coed,2,1,1,149,2016-02-11 16:31:59,"Most roller derby players know how to face an oncoming jammer and put their toestops down, but if you want to block effectively in a face to face position, you have to be able to control the jammer and drive them to the lines. Learn how to catch, stop and drive while facing oncoming traffic. Must be comfortable transitioning and skating backwards. 

A note from a RollerCon Scheduler who took this session at Camp Awesome last year: I watched one of roller derby's very best blockers learn new things in this class.*HIGHLY RECOMMENDED*
",,,1,Las Vegas,2015
1007,Body Skate,Seminar/Conference Room,1,0,0,NA/Coed,1,1,1,130,2016-02-11 16:31:59,"A low-impact, 45-minute whole-body workout for all fitness skill levels, designed to boost core and derby functional strength to improve joint control and avoid injury!  Off-skates cardio incorporating resistance using derby equipment so bring ALL the gear!  Showcases a full-body workout using equipment at hand - no need for expensive equipment.  A workout for all leagues, all levels - any time, any place!    
",,,1,Las Vegas,2015
1008,Brains Over Brawn Jammer Smarts,Flat Track,1,0,3,NA/Coed,2,1,1,131,2016-02-11 16:31:59,"Derby has evolved into a game where brains are just as essential as brawn. In order to have the advantage and squeeze out those extra points, it is essential for jammers to make smart decisions while simultaneously exhausting their bodies physically. This class will go over various situations during a jam including how to adjust start strategy, decide when to call off a jam, when to consider a star pass, when to become a fifth blocker, how to work together with your blockers and much more. We will discuss the variables in the game that need to be evaluated such as skills of those on the track, who is in the box, time on the clock, and mid jam situations that arise. This class is great for blockers also so they can work with and instruct their jammers appropriately.
",,,1,Las Vegas,2015
1009,Breakin  Floor Control  Fancy Feet,Seminar/Conference Room,1,0,0,NA/Coed,1,1,1,172,2016-02-11 16:31:59,"Don't be the kid at the after party faking a sprain because you don't know how to dance! You own the track at the bout, now own the floor at the party. Learn a complete set of breakin' steps from setup to floor work,  including circle etiquette, taunts, and styles straight from the Los Angeles Hip-Hop underground.
",,,1,Las Vegas,2015
1010,Bridging for Offensive Blocking,Flat Track,1,0,3,NA/Coed,2,1,1,174,2016-02-11 16:31:59,"LEARN THE BENEFITS OF BRIDGING AND DIFFERENT STRATEGIES FOR OFFENSIVE BLOCKING.
",,,1,Las Vegas,2015
1011,BT Training Angles Are Our Friends,Banked Track,1,0,3,NA/Coed,2,1,1,142,2016-02-11 16:31:59,"This on skates class will cover all angles of the banked track and utilizing your speed and the force of the track to your advantage when blocking and jamming. We will break down stride, footwork, skating the coping, skating the rail and recycling for maximum coverage of the track. 
",,,1,Las Vegas,2015
1012,BT Training Banked Basics,Banked Track,1,0,0,NA/Coed,2,1,1,142,2016-02-11 16:31:59,"Never skated on a banked track before?  This class is for YOU!  This on-skates training session will cover the basics of getting to know the inclined surface. This course will touch on rules, stride and lateral mobility. Great for skaters of all levels though it will truly be a basic intro course geared at those who have never skated on a banked track. Don't be shy. This course is for you to come on out and try the banked track!
",,,1,Las Vegas,2015
1013,BT Training Banked Track 101,Banked Track,1,0,3,NA/Coed,2,1,1,155,2016-02-11 16:31:59,"Ever wanted to try Banked Track? Here's your chance! We will go over all the basics: starting, stopping, pack definition, hitting and rail spins! Banked track is more fun than you can imagine. 
",,,1,Las Vegas,2015
