id,name,location_type,RCaccepted,registered__intl,registered__skill,registered__gender,duration,onsk8s,contact,coach,created_on,description,regcap,audcap,con,con__city,con__year
589,Absorbing Maintaining Contact Blocking,Flat Track,0,0,3,Female,1.5,1,1,1482,2016-02-05 08:03:12,"Techniques, body mechanics and instruction to improve your forward and backward blocking space and lateral movement. 

Since entering the sport in 2005, Jackie has maintained her reputation as a top triple threat through a decade of rule changes, athletic advancement and her own injuries. With that experience, comes a wealth of knowledge and foresight into how roller derby is played at its best. Her passion for personal growth and team development is valuable example for both veteran players and the newest skaters. Jackie is a proud member of Texas Rollergirls and Team USA. Jackie previously skated as an original member of Grand Raggidy Roller Derby (2005-2009) and a member of Windy City Rollers (2010-2014). 

*please note: this class is 1.5 hours long*
",,,2,Las Vegas,2016
590,Advanced Powerful Jamming,Flat Track,0,0,4,NA/Coed,2.0,1,1,1508,2016-02-05 08:03:12,"Truly powerful jamming. Learn to play defense and offense while you're scoring. Make holes for yourself!

VanEssa """"V-Diva"""" Sites skates for Philly Roller Derby, captains the Pennsylvania All-Stars, and plays for Team USA Roller Derby, Team Atom and Blood & Thunder. She's sponsored by Atom Wheels, 187 Killer pads, Queen of the Sin Bin, and co-owns Apex Skate Shop. She's also PRD's WFTDA Rep & Inter-league Liaison and a member of the WFTDA Training Committee.
",,,2,Las Vegas,2016
591,Backfield in Motion,Flat Track,0,0,0,NA/Coed,2.0,1,1,1465,2016-02-05 08:03:12,"Backward skating skills for those who can maneuver backward but really want to skate backward with power.  Skaters will learn how to propel themselves using as little effort as possible, how to access their backward edges, how to execute cross-pulls (sometimes called backward crossovers) and how to look good while doing it!  Each skill will be broken down in a step by step format that is both easy to understand and easy to teach to others.

Dirty Deborah Harry is a 3rd generation skating instructor, who began her classical training at age four, being coached by both her mother and father.  Her extended family was fortunate enough to own and operate the local roller rink, which meant she literally grew up on wheels.   Dirty possesses a unique ability to teach beginning to advanced skating skills (with a strict focus on technical perfection) and translate those skills into strong derby play.  Her class atmosphere has been described as both humorous and inspirational.   When she is not teaching here or abroad, you can find her playing both banked and flat track derby in Southern California.
",,,2,Las Vegas,2016
592,Backwards Baby Steps,Flat Track,0,0,2,NA/Coed,2.0,1,0,1465,2016-02-05 08:03:12,"Learn how to skate backwards for real!  Class is geared toward those skaters who are struggling and who need to better understand actual technique.  Skaters will see improvement in balance, edging, rhythm, speed and style. 

Dirty Deborah Harry is a 3rd generation skating instructor, who began her classical training at age four, being coached by both her mother and father.  Her extended family was fortunate enough to own and operate the local roller rink, which meant she literally grew up on wheels.   Dirty possesses a unique ability to teach beginning to advanced skating skills (with a strict focus on technical perfection) and translate those skills into strong derby play.  Her class atmosphere has been described as both humorous and inspirational.   When she is not teaching here or abroad, you can find her playing both banked and flat track derby in Southern California.
",,,2,Las Vegas,2016
724,Be SMART Goal Setting,Seminar/Conference Room,0,0,0,NA/Coed,1.0,0,0,1461,2016-02-05 08:03:24,"Setting goals is easy but achieving them isn't. Setting SMART goals - specific, measurable, achievable, realistic and timely - is the first step in making your goal a reality. Bring your goals with a pen and paper, using the SMART framework, we will work to make your goals into SMART goals.  """"Many people fail in life, not for lack of ability or brains or even courage, but simply because they have never organised their energies around a goal."""" -Elbert Hubbard

*Be prepared to sit on the floor*

Gillotine Grace began playing, coaching and captaining roller derby for the Cowboy Capital Rollergirls in 2011. Shes head of training and interim vice chair for the Dallas Derby Devils. She is the current captain of Dallas All Star travel team and Team Texas. Grace is a Deadbolt Pads team rider and a part of Team Blood & Thunder.
",,,2,Las Vegas,2016
593,Better Brakes for Blocking Your Wall,Flat Track,0,0,0,NA/Coed,2.0,1,1,1520,2016-02-05 08:03:12,"Aggressive partner and wall blocking, including leading your opposition into a hit instead of hitting away from your partner.

Demanda Riot - IS real fucking scary.  She cannot MAKE you be real fucking scary (that's up to you), but she will show you how to do some of the real fucking scary things that she does. You've likely had nightmares about her before the big bout, where you wake up screaming but can't quite remember why.  B.A.D to the bone & bleeding gold since 2007, Demanda Riot also skates with a myriad of ad hock and scrimmage teams such as Chupacabras Peligroso (redepantsipated Team Awesome), Team Legit, The Vagine Regiem, The CoEd Cripplers, Team Cruz, The Rejects ... 
",,,2,Las Vegas,2016
594,Blockers Turned Jammer,Flat Track,0,0,3,NA/Coed,2.0,1,1,1474,2016-02-05 08:03:12,"Sometimes the coach calls on you to jam even though you never jam at practice.  Learn how to have confidence in your jamming and use your beast mode blocker skills to make you a top notch jammer.

Lacey """"Carmen Getsome"""" Ramon is both a Team Antiks skater and Team USA skater that has been on skates for 9 years.  She was a primary jammer for 7 years and in 2013 started blocking.  She is an exceptional pivot, performing devastating contact and containment on the opponent while reading the minds of her jammers, creating amazing offensive opportunities as well as executing sneaky hat passes. Getsome is the proud owner of Getsome Athletics, an international roller derby training company.
",,,2,Las Vegas,2016
595,Blocking Backwards,Flat Track,0,0,3,NA/Coed,2.0,1,1,1498,2016-02-05 08:03:12,"Most roller derby players know how to face an oncoming jammer and put their toestops down, but if you want to block effectively in a face to face position, you have to be able to control the jammer and drive them to the lines. Learn how to catch, stop and drive while facing oncoming traffic. Must be comfortable transitioning and skating backwards. 

A note from a RollerCon Scheduler who took this session at Camp Awesome last year: I watched one of roller derby's very best blockers learn new things in this class.*HIGHLY RECOMMENDED*

Quadzilla's self-written bio just said something dumb like, ""I'm black and I skate,"" so here are just a few of the legends about him. Quadzilla LK started skating in diapers and joined his first derby team roughly sometime before puberty (which was way earlier than most of you people think), in the dark ages when the sport was played on inline skates by people with enormous hair and you were probably still teething.  He was a featured skater in a bunch of TV commercials, loves to jump rows of skaters laying on the ground, can skate with his skate on his ass better than most of you can skate with 'em on your feet, and has a new pair of flashy shoes every single time you lay eyes on him.  He guest coaches all over and has been seen rocking both flat and banked tracks on several continents.  He plays mens derby for the Puget Sound Outcasts, and developed Antik Skates, Heartless and B'Zerk Wheels and Gumball Stops. We heard he was once a pro snowboarder.  He doesn't have anything at all to do with Derby News Network and has never been a ref, though he's not above wearing a dress if the situation calls for it.  He likes the kind of sushi that has fried things and cream cheese in it.  We don't think he's a super hero, but he does actually have a sidekick named Boy (something). For real. Little known fact: the ""LK"" stands for ""likes kumquats.""
",,,2,Las Vegas,2016
744,Body Skate,Seminar/Conference Room,0,0,0,NA/Coed,1.0,0,0,1506,2016-02-05 08:03:25,"A low-impact, 45-minute whole-body workout for all fitness skill levels, designed to boost core and derby functional strength to improve joint control and avoid injury!  Off-skates cardio incorporating resistance using derby equipment so bring ALL the gear!  Showcases a full-body workout using equipment at hand - no need for expensive equipment.  A workout for all leagues, all levels - any time, any place!    

The 4closer, with the Sacred City Derby Girls, has been on skates since the 80's when she competed in artistic figure and freestyle skating in Roseville, CA.  After life changing events in 2006, she realized she missed the wind in her hair and speed of her skates when she became addicted to derby in 2009.  '4c' is competing in her 7th season with the SACRED Sacrificers and is the league's Jammer Trainer/Coach and Strategy Coach.  With an athletic background in basketball and volleyball she incorporates ball sports skills, movement and strategy in all of her coaching techniques when breaking down drills and use of strategy in derby game play  as well as promoting the belief in the use of 'mind over body' and the building of muscle memory with the utilization of 'Movement to Music'.  She strives to keep the mental game of SERIOUS 'not serious' derby alive and share this outlook with others!
",,,2,Las Vegas,2016
596,Brains Over Brawn Jammer Smarts,Flat Track,0,0,3,NA/Coed,2.0,1,1,1488,2016-02-05 08:03:12,"Derby has evolved into a game where brains are just as essential as brawn. In order to have the advantage and squeeze out those extra points, it is essential for jammers to make smart decisions while simultaneously exhausting their bodies physically. This class will go over various situations during a jam including how to adjust start strategy, decide when to call off a jam, when to consider a star pass, when to become a fifth blocker, how to work together with your blockers and much more. We will discuss the variables in the game that need to be evaluated such as skills of those on the track, who is in the box, time on the clock, and mid jam situations that arise. This class is great for blockers also so they can work with and instruct their jammers appropriately.

Dutch Crunch #76 has been a member of Undead Bettys since June 2010 and during that time she has definitely made her mark both on Undead and in the derby world. Whether she is playing, watching, or coaching roller derby, her love of the game is evident. She was  awarded skater of the year in 2012, Heart of the Undead in 2013, Biggest Double Threat in 2014, and for the last three seasons she was voted team captain. She is always striving to be the best at what she does and pushes her team to also be the best. She's athletic and does a tremendous amount of work outside of derby to stay conditioned and on top of her game. She is aggressive, quick and doesn't let her small size hinder her. Dutch is continuously studying the rules allowing her to demonstrate amazing strategy knowledge. Whether jamming or blocking, Dutch is known for her leadership and communication on the track.
",,,2,Las Vegas,2016
